Date,Price
02-03-2024,389.00
04-03-2024,388.80
05-03-2024,378.40
06-03-2024,372.30
07-03-2024,367.75
11-03-2024,364.25
12-03-2024,358.90
13-03-2024,353.70
14-03-2024,350.00
15-03-2024,355.80
18-03-2024,341.50
19-03-2024,344.65
20-03-2024,339.50
21-03-2024,337.50
22-03-2024,338.05
26-03-2024,341.60
27-03-2024,335.40
28-03-2024,330.95
01-04-2024,342.00
02-04-2024,362.50
03-04-2024,360.70
04-04-2024,358.80
05-04-2024,355.25
08-04-2024,366.70
09-04-2024,358.50
10-04-2024,354.40
12-04-2024,351.00
15-04-2024,341.95
16-04-2024,339.85
18-04-2024,342.70
19-04-2024,336.95
22-04-2024,341.25
23-04-2024,349.10
24-04-2024,345.00
25-04-2024,343.85
26-04-2024,347.00
29-04-2024,348.45
30-04-2024,359.50
02-05-2024,361.30
03-05-2024,351.90
06-05-2024,345.00
07-05-2024,346.20
08-05-2024,340.95
09-05-2024,341.60
10-05-2024,334.95
13-05-2024,334.90
14-05-2024,342.45
15-05-2024,343.80
16-05-2024,338.50
17-05-2024,339.70
18-05-2024,337.60
21-05-2024,351.00
22-05-2024,348.00
23-05-2024,353.90
24-05-2024,353.50
27-05-2024,347.60
28-05-2024,342.90
29-05-2024,347.85
30-05-2024,352.70
31-05-2024,361.55
03-06-2024,383.95
04-06-2024,369.00
05-06-2024,338.80
06-06-2024,348.15
07-06-2024,346.90
10-06-2024,351.00
11-06-2024,347.95
12-06-2024,346.90
13-06-2024,348.70
14-06-2024,348.70
18-06-2024,346.70
19-06-2024,343.00
20-06-2024,343.05
21-06-2024,341.90
24-06-2024,340.30
25-06-2024,338.85
26-06-2024,337.90
27-06-2024,337.80
28-06-2024,335.70
01-07-2024,334.95
02-07-2024,343.60
03-07-2024,338.85
04-07-2024,337.70
05-07-2024,335.20
08-07-2024,347.00
09-07-2024,345.85
10-07-2024,339.90
11-07-2024,336.95
12-07-2024,343.00
15-07-2024,337.40
16-07-2024,336.60
18-07-2024,331.30
19-07-2024,326.70
22-07-2024,326.80
23-07-2024,331.45
24-07-2024,328.40
25-07-2024,329.80
26-07-2024,333.90
29-07-2024,349.70
30-07-2024,354.60
31-07-2024,355.80
01-08-2024,357.70
02-08-2024,383.15
05-08-2024,399.00
06-08-2024,402.00
07-08-2024,391.45
08-08-2024,403.95
09-08-2024,395.95
12-08-2024,378.85
13-08-2024,376.90
14-08-2024,362.20
16-08-2024,365.25
19-08-2024,369.00
20-08-2024,363.75
21-08-2024,393.55
22-08-2024,401.90
23-08-2024,389.00
26-08-2024,385.50
27-08-2024,383.95
28-08-2024,377.85
29-08-2024,370.30
30-08-2024,369.00
02-09-2024,380.30
03-09-2024,378.80
04-09-2024,376.80
05-09-2024,376.70
06-09-2024,369.30
09-09-2024,363.45
10-09-2024,366.50
11-09-2024,365.05
12-09-2024,363.40
13-09-2024,369.85
16-09-2024,376.00
17-09-2024,365.40
18-09-2024,360.30
19-09-2024,357.40
20-09-2024,352.00
23-09-2024,355.40
24-09-2024,355.60
25-09-2024,350.80
26-09-2024,347.50
27-09-2024,351.50
30-09-2024,350.45
01-10-2024,355.75
03-10-2024,347.45
04-10-2024,343.00
07-10-2024,346.50
08-10-2024,340.50
09-10-2024,343.75
10-10-2024,339.60
11-10-2024,339.45
14-10-2024,339.85
15-10-2024,339.00
16-10-2024,336.85
17-10-2024,333.75
18-10-2024,331.80
21-10-2024,332.35
22-10-2024,326.95
23-10-2024,320.90
24-10-2024,344.65
25-10-2024,336.45
28-10-2024,329.90
29-10-2024,336.40
30-10-2024,342.30
31-10-2024,348.00
01-11-2024,352.80
04-11-2024,342.85
05-11-2024,343.45
06-11-2024,349.00
07-11-2024,347.50
08-11-2024,344.90
11-11-2024,334.95
12-11-2024,337.50
13-11-2024,336.60
14-11-2024,334.00
18-11-2024,333.95
19-11-2024,331.75
21-11-2024,306.95
22-11-2024,299.95
25-11-2024,301.80
26-11-2024,297.45
27-11-2024,317.95
28-11-2024,325.00
29-11-2024,320.65
02-12-2024,315.65
03-12-2024,317.00
04-12-2024,315.95
05-12-2024,313.90
06-12-2024,314.40
09-12-2024,314.50
10-12-2024,312.30
11-12-2024,309.75
12-12-2024,314.80
13-12-2024,308.80
16-12-2024,309.40
17-12-2024,306.40
18-12-2024,304.45
19-12-2024,298.75
20-12-2024,300.35
23-12-2024,318.90
24-12-2024,320.00
26-12-2024,322.00
27-12-2024,330.55
30-12-2024,337.05
31-12-2024,314.35
01-01-2025,329.60
02-01-2025,332.00
03-01-2025,332.25
06-01-2025,333.00
07-01-2025,330.00
08-01-2025,329.00
09-01-2025,328.75
10-01-2025,301.60
13-01-2025,274.40
14-01-2025,270.50
15-01-2025,274.40
16-01-2025,275.70
17-01-2025,270.80
20-01-2025,270.10
21-01-2025,270.65
22-01-2025,269.35
23-01-2025,267.00
24-01-2025,267.80
27-01-2025,270.00
28-01-2025,264.70
29-01-2025,266.70
30-01-2025,265.50
31-01-2025,268.50
01-02-2025,272.30
03-02-2025,266.80
04-02-2025,273.00
05-02-2025,273.85
06-02-2025,274.90
07-02-2025,271.50
10-02-2025,266.75
11-02-2025,259.45
12-02-2025,247.25
13-02-2025,251.45
14-02-2025,246.75
17-02-2025,239.10
18-02-2025,259.00
19-02-2025,260.55
20-02-2025,264.00
21-02-2025,264.35
24-02-2025,264.00
25-02-2025,264.40
27-02-2025,259.10
28-02-2025,247.40
03-03-2025,250.68
04-03-2025,245.44
05-03-2025,260.90
06-03-2025,261.70
07-03-2025,263.20
10-03-2025,264.80
11-03-2025,258.70
12-03-2025,258.70
13-03-2025,252.63
17-03-2025,250.00
18-03-2025,249.55
19-03-2025,256.20
20-03-2025,261.05
21-03-2025,266.70
24-03-2025,270.13
25-03-2025,264.89
26-03-2025,262.40
27-03-2025,258.00
28-03-2025,261.99
01-04-2025,269.90
02-04-2025,268.50
03-04-2025,271.35
04-04-2025,274.35
07-04-2025,271.40
08-04-2025,277.25
09-04-2025,276.00
11-04-2025,279.70
15-04-2025,284.50
16-04-2025,285.20
17-04-2025,287.35
21-04-2025,291.20
22-04-2025,289.30
23-04-2025,285.90
24-04-2025,286.30
25-04-2025,284.45
28-04-2025,287.00
29-04-2025,277.00
30-04-2025,269.70
02-05-2025,272.70
05-05-2025,280.45
06-05-2025,275.90
07-05-2025,264.50
08-05-2025,266.45
09-05-2025,256.85
12-05-2025,268.30
13-05-2025,265.25
14-05-2025,270.90
15-05-2025,270.35
16-05-2025,272.90
19-05-2025,275.80
20-05-2025,272.55
21-05-2025,265.45
22-05-2025,263.60
23-05-2025,261.85
26-05-2025,265.65
27-05-2025,276.25
28-05-2025,269.40
29-05-2025,266.20
30-05-2025,279.85
02-06-2025,273.90
03-06-2025,273.60
04-06-2025,270.65
05-06-2025,270.20
06-06-2025,266.50
09-06-2025,268.50
10-06-2025,279.25
11-06-2025,280.70
12-06-2025,280.90
13-06-2025,267.25
16-06-2025,267.45
